<DATE>;<BALANCE>;<EQUITY>;<DEPOSIT LOAD>
2015.01.01 00:00;5000.00;5000.00;0.0000
2015.01.02 10:06;5020.00;4984.00;0.0000
2015.01.02 10:08;5020.00;5038.00;0.0000
2015.01.02 10:09;5020.00;5040.00;0.0000
2015.01.02 11:19;5040.00;5003.00;0.0000
2015.01.02 11:43;5040.00;5068.00;0.0000
2015.01.02 11:50;5040.00;5040.00;0.0000
2015.01.02 11:51;5060.00;5062.00;0.0000
2015.01.02 12:29;5060.00;4946.00;0.0000
2015.01.02 12:34;5060.00;5124.00;0.0000
2015.01.02 12:37;5171.00;5082.00;0.0000
2015.01.02 13:02;5171.00;5211.00;0.0000
2015.01.02 13:15;5171.00;5171.00;0.0000
2015.01.02 13:40;5191.00;5081.00;0.0000
2015.01.02 13:57;5191.00;5205.00;0.0000
2015.01.02 14:01;5191.00;5212.00;0.0000
2015.01.02 14:04;5110.00;5218.00;0.0000
2015.01.02 14:46;5110.00;5115.00;0.0000
2015.01.02 14:47;5110.00;5110.00;0.0000
2015.01.02 15:16;5130.00;5062.00;0.0000
2015.01.02 15:21;5130.00;5144.00;0.0000
2015.01.02 15:22;5130.00;5152.00;0.0000
2015.01.02 16:58;5083.00;5072.00;0.0000
2015.01.02 17:00;5083.00;5083.00;0.0000
2015.01.05 10:10;5103.00;5071.00;0.0000
2015.01.05 10:10;5103.00;5125.00;0.0000
2015.01.05 12:36;5125.00;5027.00;0.0000
2015.01.05 14:12;5125.00;5152.00;0.0000
2015.01.05 14:20;5125.00;5125.00;0.0000
2015.01.05 14:30;5145.00;5165.00;0.0000
2015.01.05 14:50;5145.00;5031.00;0.0000
2015.01.05 15:53;5145.00;5166.00;0.0000
2015.01.05 15:54;5161.00;5179.00;0.0000
2015.01.05 15:58;5161.00;5151.00;0.0000
2015.01.05 16:00;5161.00;5161.00;0.0000
2015.01.06 09:29;5181.00;5121.00;0.0000
2015.01.06 09:33;5181.00;5193.00;0.0000
2015.01.06 09:34;5181.00;5202.00;0.0000
2015.01.06 09:39;5259.00;5186.00;0.0000
2015.01.06 10:09;5259.00;5285.00;0.0000
2015.01.06 10:15;5259.00;5259.00;0.0000
2015.01.06 10:15;5279.00;5255.00;0.0000
2015.01.06 10:16;5279.00;5293.00;0.0000
2015.01.06 10:17;5279.00;5302.00;0.0000
2015.01.06 10:23;5198.00;5342.00;0.0000
2015.01.06 12:37;5198.00;5200.00;0.0000
2015.01.06 12:45;5198.00;5198.00;0.0000
2015.01.06 12:57;5218.00;5178.00;0.0000
2015.01.06 12:59;5218.00;5232.00;0.0000
2015.01.06 13:00;5218.00;5261.00;0.0000
2015.01.06 13:03;5289.00;5226.00;0.0000
2015.01.06 13:50;5289.00;5311.00;0.0000
2015.01.06 13:55;5289.00;5289.00;0.0000
2015.01.06 14:05;5309.00;5311.00;0.0000
2015.01.06 14:12;5309.00;5233.00;0.0000
2015.01.06 14:28;5309.00;5336.00;0.0000
2015.01.06 16:11;5392.00;5258.00;0.0000
2015.01.06 16:49;5392.00;5397.00;0.0000
2015.01.06 17:00;5392.00;5392.00;0.0000
2015.01.07 09:37;5412.00;5430.00;0.0000
2015.01.07 09:38;5412.00;5433.00;0.0000
2015.01.07 10:18;5331.00;5456.00;0.0000
2015.01.07 12:21;5331.00;5333.00;0.0000
2015.01.07 12:22;5331.00;5331.00;0.0000
2015.01.07 12:40;5351.00;5323.00;0.0000
2015.01.07 12:40;5351.00;5374.00;0.0000
2015.01.07 12:48;5270.00;5378.00;0.0000
2015.01.07 13:21;5270.00;5273.00;0.0000
2015.01.07 14:53;5270.00;5270.00;0.0000
2015.01.07 15:30;5290.00;5124.00;0.0000
2015.01.07 16:55;5290.00;5304.00;0.0000
2015.01.07 16:56;5290.00;5314.00;0.0000
2015.01.07 16:57;5302.00;5294.00;0.0000
2015.01.07 17:00;5302.00;5302.00;0.0000
2015.01.08 09:40;5322.00;5328.00;0.0000
2015.01.08 09:47;5322.00;5262.00;0.0000
2015.01.08 09:57;5322.00;5343.00;0.0000
2015.01.08 10:12;5440.00;5288.00;0.0000
2015.01.08 10:49;5440.00;5502.00;0.0000
2015.01.08 11:05;5440.00;5440.00;0.0000
2015.01.08 11:14;5460.00;5458.00;0.0000
2015.01.08 11:21;5460.00;5372.00;0.0000
2015.01.08 11:31;5460.00;5481.00;0.0000
2015.01.08 11:40;5659.00;5466.00;0.0000
2015.01.08 13:11;5659.00;5657.00;0.0000
2015.01.08 13:12;5659.00;5659.00;0.0000
2015.01.08 13:41;5679.00;5583.00;0.0000
2015.01.08 14:10;5679.00;5699.00;0.0000
2015.01.08 14:16;5679.00;5715.00;0.0000
2015.01.08 14:38;5699.00;5674.00;0.0000
2015.01.08 14:50;5699.00;5741.00;0.0000
2015.01.08 15:00;5699.00;5699.00;0.0000
2015.01.08 15:22;5633.00;5587.00;0.0000
2015.01.08 15:29;5633.00;5725.00;0.0000
2015.01.08 17:00;5633.00;5633.00;0.0000
2015.01.09 09:48;5471.00;5577.00;0.0000
2015.01.09 10:04;5471.00;5659.00;0.0000
2015.01.09 10:05;5471.00;5471.00;0.0000
2015.01.09 10:45;5491.00;5445.00;0.0000
2015.01.09 11:04;5491.00;5505.00;0.0000
2015.01.09 11:12;5491.00;5518.00;0.0000
2015.01.09 11:32;5410.00;5550.00;0.0000
2015.01.09 14:05;5410.00;5411.00;0.0000
2015.01.09 14:10;5410.00;5410.00;0.0000
2015.01.09 14:34;5396.00;5440.00;0.0000
2015.01.09 15:16;5396.00;5256.00;0.0000
2015.01.09 16:25;5396.00;5396.00;0.0000
2015.01.12 09:05;5416.00;5440.00;0.0000
2015.01.12 09:07;5490.00;5431.00;0.0000
2015.01.12 09:40;5490.00;5528.00;0.0000
2015.01.12 09:50;5490.00;5490.00;0.0000
2015.01.12 09:59;5510.00;5418.00;0.0000
2015.01.12 10:06;5510.00;5524.00;0.0000
2015.01.12 10:07;5510.00;5530.00;0.0000
2015.01.12 10:16;5429.00;5550.00;0.0000
2015.01.12 10:43;5429.00;5447.00;0.0000
2015.01.12 10:44;5429.00;5429.00;0.0000
2015.01.12 10:55;5449.00;5405.00;0.0000
2015.01.12 11:06;5449.00;5461.00;0.0000
2015.01.12 11:07;5449.00;5471.00;0.0000
2015.01.12 11:20;5440.00;5479.00;0.0000
2015.01.12 13:01;5440.00;5381.00;0.0000
2015.01.12 14:10;5440.00;5440.00;0.0000
2015.01.12 14:10;5460.00;5424.00;0.0000
2015.01.12 14:17;5460.00;5480.00;0.0000
2015.01.12 14:18;5460.00;5483.00;0.0000
2015.01.12 15:01;5476.00;5446.00;0.0000
2015.01.12 15:34;5476.00;5500.00;0.0000
2015.01.12 15:40;5476.00;5476.00;0.0000
2015.01.13 09:39;5314.00;5500.00;0.0000
2015.01.13 10:14;5314.00;5328.00;0.0000
2015.01.13 10:15;5314.00;5314.00;0.0000
2015.01.13 10:49;5334.00;5240.00;0.0000
2015.01.13 11:18;5334.00;5352.00;0.0000
2015.01.13 11:19;5334.00;5356.00;0.0000
2015.01.13 12:06;5376.00;5323.00;0.0000
2015.01.13 12:14;5376.00;5420.00;0.0000
2015.01.13 12:25;5376.00;5376.00;0.0000
2015.01.13 12:25;5396.00;5366.00;0.0000
